,nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
0,19583334,2019년 12월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19583334,서울시본청,남북협력추진단,개발협력담당관,,,2019,12,,,,남북협력추진단 개발협력담당관,2019-12-26 22:08,산방돼지(서울시 중구 세종대로21길 40),연말 직원격려 간담회,"개발협력총괄팀장, 경제협력지원팀장 외 7명",카드,205000
1,19583334,2019년 12월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19583334,서울시본청,남북협력추진단,개발협력담당관,,,2019,12,,,,남북협력추진단 개발협력담당관,2019-12-18 21:11,오징어풍경(서울시 중구 다동길 5),대북 인도적 지원 사업 논의를 위한 간담회,"개발협력담당관, 개발협력총괄팀장, 경제협력지원팀장 외 2명",제로페이,40000
2,19583334,2019년 12월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19583334,서울시본청,남북협력추진단,개발협력담당관,,,2019,12,,,,남북협력추진단 개발협력담당관,2019-12-17 20:20,산방돼지(서울시 중구 세종대로21길 40),송년회를 위한 간담회,"개발협력담당관, 개발협력총괄팀장, 개발사업팀장, 경제협력지원팀장 외 6명",카드,300000
3,19583334,2019년 12월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19583334,서울시본청,남북협력추진단,개발협력담당관,,,2019,12,,,,남북협력추진단 개발협력담당관,2019-12-16 21:00,왕비집(서울시 중구 무교로 19),개발협력분야 유관단체 업무협의를 위한 간담회,개발협력담당관 외 3명,카드,141000
4,19583334,2019년 12월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19583334,서울시본청,남북협력추진단,개발협력담당관,,,2019,12,,,,남북협력추진단 개발협력담당관,2019-12-11 21:26,장군보쌈(서울시 중구 무교로 16),남북교류사업 논의를 위한 간담회,"개발협력담당관, 개발협력총괄팀장, 경제협력지원팀장 외 2명",제로페이,61000
5,19583334,2019년 12월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19583334,서울시본청,남북협력추진단,개발협력담당관,,,2019,12,,,,남북협력추진단 개발협력담당관,2019-12-10 19:50,서울불고기(서울시 중구 남대문로9길 40),직원격려 간담회,"개발협력담당관, 개발협력총괄팀장 외 5명",제로페이,142000
6,19583334,2019년 12월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19583334,서울시본청,남북협력추진단,개발협력담당관,,,2019,12,,,,남북협력추진단 개발협력담당관,2019-12-09 20:31,제주본가(서울시 중구 을지로1길 8),경제분야 협력사업 추진을 위한 간담회,개발협력담당관 외 4명,제로페이,92000
7,19583334,2019년 12월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19583334,서울시본청,남북협력추진단,개발협력담당관,,,2019,12,,,,남북협력추진단 개발협력담당관,2019-12-05 12:56,더테이블한정식(서울시 중구 세종대로 124),현안업무 논의를 위한 간담회,개발협력담당관 외 3명,제로페이,80000
8,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-31 13:52,"㈜월향 (중구 세종대로21길 30, 1층)",위원장 의회운영업무추진비 지출,위원장 외 9명,카드,255000
9,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-30 10:41,"㈜파리크라상 여의도2호점 (중구 세종대로124, 지하1층)",위원장 의회운영업무추진비 지출,위원장 외 7명,카드,81050
10,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-23 13:14,주식회사 어반가든 (서울시 중구 정동길 12-15),위원장 의회운영업무추진비 지출,위원장 외 12명,카드,368000
11,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-19 12:19,"㈜월향 (중구 세종대로21길 30, 1층)",위원장 의회운영업무추진비 지출,위원장 외 1명,카드,40000
12,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-17 19:05,"서울안심축산정육마당 (구로구 공원로 47, 1층 101~109호)",위원장 의회운영업무추진비 지출,위원장 외 15명,카드,462000
13,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-13 17:15,㈜정우앤컴퍼니 (중구 세종대로 135-9),위원장 의회운영업무추진비 지출,위원장 외 2명,카드,73500
14,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-13 16:59,"㈜콩두 (서울시 중구 덕수궁길 116-1, 1층)",위원장 의회운영업무추진비 지출,위원장 외 15명,카드,475000
15,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-09 15:43,"le cabaret cite (중구 세종대로124, 지하1층)",위원장 의회운영업무추진비 지출,위원장 외 2명,카드,30000
16,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-09 13:12,"위트러스트커피 시청점 (중구 서소문로 125, 1층)",위원장 의회운영업무추진비 지출,위원장 외 2명,카드,12700
17,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-09 13:09,"창고43시청점 (중구 서소문로 120, 1층)",위원장 의회운영업무추진비 지출,위원장 외 5명,카드,163000
18,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-06 12:38,㈜달개비 자연음식전문점 (서울시 중구 정동3번지),위원장 의회운영업무추진비 지출,위원장 외 3명,카드,108600
19,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-05 17:55,"복순도가 (용산구 양녕로 445, 1층)",위원장 방문객 대접 다과 구매,다수,카드,120000
20,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-02 21:33,㈜아워홈서울파이낸스 (서울시 중구 세종대로 136),위원장 의회운영업무추진비 지출,위원장 외 11명,카드,360000
21,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-02 13:10,"위트러스트커피 시청점 (중구 서소문로 125, 1층)",위원장 의회운영업무추진비 지출,위원장 외 2명,카드,12700
22,19566351,2019년 12월 의회사무처 도시계획관리위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19566351,의회사무처,도시계획관리위원회,,,,2019,12,,,,도시계획관리위원회,2019-12-03 14:00,함양산촌 (경남 함양군 병곡면 원산길 1),위원장 방문객 대접 다과 구매,다수,카드,214000
23,19533584,2019년 12월 의회사무처 기획경제위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19533584,의회사무처,기획경제위원회,,,,2019,12,,,,기획경제위원회,2019-12-27 13:46,남도한식(중구 세종대로14길 22-5),상임위원회 현안논의를 위한 간담회,위원장 등 5명,카드,147000
24,19533584,2019년 12월 의회사무처 기획경제위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19533584,의회사무처,기획경제위원회,,,,2019,12,,,,기획경제위원회,2019-12-27 21:02,청와대소금구이(동작구 사당로 233),상임위원회 현안논의를 위한 간담회,위원장 등 6명,카드,151000
25,19533584,2019년 12월 의회사무처 기획경제위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19533584,의회사무처,기획경제위원회,,,,2019,12,,,,기획경제위원회,2019-12-24 18:46,민소한우(종로구 서린동 111-1),상임위원회 현안논의를 위한 간담회,위원장 등 14명,카드,410000
26,19533584,2019년 12월 의회사무처 기획경제위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19533584,의회사무처,기획경제위원회,,,,2019,12,,,,기획경제위원회,2019-12-23 12:29,탕마루(동작구 동작대로29가길 10),상임위원회 현안논의를 위한 간담회,위원장 등 8명,카드,222000
27,19533584,2019년 12월 의회사무처 기획경제위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19533584,의회사무처,기획경제위원회,,,,2019,12,,,,기획경제위원회,2019-12-20 15:39,시골보쌈&옹심이(서초구 방배천로 12),상임위원회 현안논의를 위한 간담회,위원장 등 4명,카드,99000
28,19533584,2019년 12월 의회사무처 기획경제위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19533584,의회사무처,기획경제위원회,,,,2019,12,,,,기획경제위원회,2019-12-20 10:15,서소문청사 구내식당(중구 덕수궁길 15),상임위원회 현안논의를 위한 간담회,위원장 등 14명,카드,56000
29,19533584,2019년 12월 의회사무처 기획경제위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19533584,의회사무처,기획경제위원회,,,,2019,12,,,,기획경제위원회,2019-12-19 14:22,정동길초밥(중구 정동 22-2),상임위원회 현안논의를 위한 간담회,위원장 등 6명,카드,170000
30,19533584,2019년 12월 의회사무처 기획경제위원회 업무추진비 - 전체,http://opengov.seoul.go.kr/public/19533584,의회사무처,기획경제위원회,,,,2019,12,,,,기획경제위원회,2019-12-16 10:30,서소문청사 구내식당(중구 덕수궁길 15),상임위원회 현안논의를 위한 간담회,위원장 등 13명,카드,52000
